iter	Logloss
0	0.6856866103
1	0.6781518337
2	0.6713836725
3	0.6649944097
4	0.6588884939
5	0.6533985761
6	0.6466633343
7	0.6403165109
8	0.6334765484
9	0.6275991141
10	0.6219010076
11	0.6156175678
12	0.6096290995
13	0.6045964452
14	0.599370233
15	0.5943199917
16	0.5894583477
17	0.5844923839
18	0.5791842992
19	0.5745777929
20	0.5698541397
21	0.5652699804
22	0.5614062391
23	0.5571350392
24	0.5529142456
25	0.5487230143
26	0.5443921888
27	0.5401174815
28	0.5363724905
29	0.5323268158
30	0.5287524343
31	0.524797601
32	0.5214489451
33	0.5183258644
34	0.5145466011
35	0.5116564112
36	0.5085893486
37	0.5049927202
38	0.5017828066
39	0.4981272038
40	0.4962333132
41	0.4933086507
42	0.4901011922
43	0.4877410191
44	0.4845070047
45	0.4818830758
46	0.4792015255
47	0.4763283715
48	0.4736672142
49	0.4708383034
50	0.4687086159
51	0.4663416284
52	0.4654880799
53	0.4627808255
54	0.4607211856
55	0.4583527451
56	0.4556882808
57	0.4537172777
58	0.4515236054
59	0.4492025146
60	0.4467479426
61	0.4448169738
62	0.4431632894
63	0.4411914345
64	0.4391390098
65	0.4370750609
66	0.4360210399
67	0.4343638481
68	0.432436988
69	0.4305357318
70	0.4286746103
71	0.4270349554
72	0.4252956404
73	0.423478712
74	0.4219494898
75	0.4206830212
76	0.4191110088
77	0.4178580687
78	0.4163923804
79	0.4150428618
80	0.4140529259
81	0.4130158156
82	0.4115096921
83	0.4102971622
84	0.4088469314
85	0.4075726213
86	0.406073738
87	0.4043877354
88	0.4032354574
89	0.4019816405
90	0.4006015575
91	0.3995950367
92	0.3983367604
93	0.3968993566
94	0.3957397382
95	0.394594951
96	0.3939894251
97	0.3927885197
98	0.3919517315
99	0.3909258198
100	0.3897354115
101	0.3887674469
102	0.3879925892
103	0.3871156664
104	0.3860807107
105	0.3849003986
106	0.3839662052
107	0.3829954096
108	0.3819195928
109	0.3809699919
110	0.380500227
111	0.3794851381
112	0.378781731
113	0.37759478
114	0.3765879084
115	0.3756002272
116	0.3747945546
117	0.3738419223
118	0.3729800062
119	0.3724061219
120	0.3716283581
121	0.3709103953
122	0.3704728483
123	0.3696917024
124	0.3688974037
125	0.3682300976
126	0.3673882738
127	0.3667181117
128	0.3660617287
129	0.3655409313
130	0.3648727233
131	0.364345312
132	0.363417031
133	0.3629566359
134	0.3621521157
135	0.3617287486
136	0.3611436408
137	0.3603609165
138	0.359918384
139	0.3592638048
140	0.3590116234
141	0.3584357099
142	0.3579010834
143	0.3573054784
144	0.3570268413
145	0.3564024256
146	0.3557402803
147	0.355144024
148	0.3543664856
149	0.3537437234
150	0.3532085958
151	0.3525240785
152	0.3522657091
153	0.3517162263
154	0.3513007759
155	0.3508036033
156	0.3503560853
157	0.3500369879
158	0.3497142579
159	0.3494131484
160	0.3491717899
161	0.3488159651
162	0.3482679604
163	0.3477858696
164	0.3474154391
165	0.347008682
166	0.3463373174
167	0.3459688409
168	0.3454816394
169	0.3451094301
170	0.3446994161
171	0.3443792415
172	0.3439879169
173	0.3438871296
174	0.3435325575
175	0.3433679857
176	0.3429031312
177	0.342586013
178	0.3423028664
179	0.342221044
180	0.341612161
181	0.3411551981
182	0.340791131
183	0.3404608851
184	0.340224462
185	0.3398508497
186	0.3395882965
187	0.3393424034
188	0.3390317237
189	0.338720969
190	0.338470892
191	0.3379889766
192	0.337706331
193	0.3373019289
194	0.3370411795
195	0.3367749936
196	0.3364407643
197	0.3361620771
198	0.3360189756
199	0.3357218996
200	0.3351868973
201	0.3349576392
202	0.3346108335
203	0.334310175
204	0.3339247128
205	0.3336541426
206	0.3332472102
207	0.3327968613
208	0.3325282703
209	0.3323052003
210	0.3320006085
211	0.3318234352
212	0.3313993917
213	0.3311653485
214	0.3310085682
215	0.3307990266
216	0.3307538815
217	0.3304243872
218	0.3301606315
219	0.3298716225
220	0.3296368278
221	0.3294108266
222	0.3290323791
223	0.3289424146
224	0.3286259978
225	0.3284007232
226	0.3282125016
227	0.328003436
228	0.3279229414
229	0.32760427
230	0.3274213094
231	0.3271201749
232	0.3269655992
233	0.3268321681
234	0.3265901581
235	0.3262992952
236	0.3261007519
237	0.325769529
238	0.3255362374
239	0.3252041877
240	0.3250625393
241	0.3247988086
242	0.324526585
243	0.3241861927
244	0.3239694109
245	0.3238639638
246	0.3236193984
247	0.3234031177
248	0.3231903945
249	0.3227561294
250	0.3224823025
251	0.3221662365
252	0.3218471141
253	0.3216214385
254	0.3214112707
255	0.3210496337
256	0.320983319
257	0.3207703452
258	0.3204767766
259	0.3201794
260	0.3200123981
261	0.3196424436
262	0.3194069223
263	0.3193081642
264	0.3190428051
265	0.3188589677
266	0.3186586957
267	0.3184502816
268	0.3182861858
269	0.318149122
270	0.3178780508
271	0.3175615339
272	0.317361312
273	0.3171372399
274	0.3168315458
275	0.3165343195
276	0.3163565699
277	0.316070893
278	0.3158745292
279	0.3155767267
280	0.3153386501
281	0.3151467958
282	0.3148960675
283	0.3147300176
284	0.3145620136
285	0.3144570424
286	0.3141809106
287	0.3140468281
288	0.3138015863
289	0.313666176
290	0.3134930111
291	0.3134071552
292	0.3132313347
293	0.3131193738
294	0.3128685954
295	0.3126096247
296	0.312512946
297	0.3123013001
298	0.31214938
299	0.3118885053
300	0.3117732875
301	0.311657243
302	0.3114999616
303	0.3110825571
304	0.311011332
305	0.3107470251
306	0.3104480701
307	0.3101427267
308	0.3100320435
309	0.3099458369
310	0.3096806531
311	0.3095195887
312	0.3093894395
313	0.3091807748
314	0.3089506399
315	0.3088455434
316	0.3086609796
317	0.3084920235
318	0.3083693901
319	0.3082050188
320	0.3081381529
321	0.3080029931
322	0.3079670424
323	0.3079214212
324	0.3078689106
325	0.3077563233
326	0.3075795008
327	0.3074780871
328	0.3073593118
329	0.3072432172
330	0.3071435071
331	0.3070350536
332	0.3070104016
333	0.3067534101
334	0.3065299392
335	0.3063092993
336	0.3061294955
337	0.3059880975
338	0.305883427
339	0.305789003
340	0.3057094103
341	0.3056361559
342	0.3055637534
343	0.305400334
344	0.3053067619
345	0.3051290374
346	0.3049877647
347	0.3047724861
348	0.3045330316
349	0.3044342234
350	0.3043299536
351	0.3042467032
352	0.3039341196
353	0.3037498062
354	0.3035880404
355	0.3034598202
356	0.3033123845
357	0.3030447957
358	0.3029711655
359	0.3029268221
360	0.3026599097
361	0.3025622539
362	0.30254141
363	0.3024372155
364	0.3023183149
365	0.3021905206
366	0.3020982011
367	0.3019658222
368	0.3018163572
369	0.3016279853
370	0.3014586535
371	0.3013914619
372	0.301157043
373	0.3011293847
374	0.3010395705
375	0.3008777044
376	0.3007782699
377	0.3006753781
378	0.3006019985
379	0.3003932336
380	0.3003796299
381	0.3001914334
382	0.3000231538
383	0.2997586214
384	0.2996352615
385	0.2994320332
386	0.2992878294
387	0.2992046541
388	0.2990528843
389	0.2989695087
390	0.2987155986
391	0.2986518393
392	0.2985653571
393	0.2985243707
394	0.298480854
395	0.2983505043
396	0.2982033192
397	0.2980236907
398	0.2978944434
399	0.2977342559
400	0.2974999622
401	0.2973753496
402	0.2971661588
403	0.2970297213
404	0.2968868703
405	0.296709697
406	0.2965999658
407	0.2963521937
408	0.2961151693
409	0.296064237
410	0.2959679841
411	0.2958170661
412	0.2956610123
413	0.2955049084
414	0.2954207811
415	0.295221887
416	0.2950412063
417	0.29492193
418	0.2947901022
419	0.2947457588
420	0.2947020166
421	0.2945315825
422	0.2943850988
423	0.294244678
424	0.2940253909
425	0.2938165509
426	0.2936963225
427	0.2936596452
428	0.2935482355
429	0.2935296964
430	0.2933924071
431	0.293182114
432	0.29304971
433	0.29295476
434	0.2928689792
435	0.2927253015
436	0.2925415142
437	0.2923907465
438	0.2921561272
439	0.2920390555
440	0.2919887996
441	0.2918799703
442	0.2917377707
