iter	Passed	Remaining
0	2	2624
1	4	2293
2	6	2164
3	8	2106
4	10	2019
5	11	1936
6	15	2140
7	17	2173
8	19	2148
9	21	2103
10	22	2057
11	24	2020
12	26	1986
13	27	1928
14	29	1915
15	31	1921
16	32	1900
17	34	1892
18	36	1877
19	37	1849
20	39	1834
21	41	1831
22	42	1807
23	45	1839
24	47	1859
25	49	1869
26	51	1869
27	53	1866
28	55	1855
29	57	1846
30	59	1846
31	60	1843
32	62	1844
33	64	1843
34	66	1839
35	67	1819
36	69	1811
37	71	1804
38	73	1806
39	75	1815
40	76	1799
41	80	1832
42	82	1832
43	83	1815
44	85	1811
45	87	1813
46	89	1814
47	91	1817
48	93	1814
49	95	1812
50	96	1802
51	98	1800
52	99	1782
53	101	1782
54	103	1779
55	106	1787
56	107	1785
57	110	1787
58	111	1783
59	113	1779
60	115	1778
61	117	1775
62	119	1771
63	121	1770
64	123	1772
65	125	1773
66	126	1758
67	127	1752
68	129	1750
69	131	1747
70	133	1743
71	135	1741
72	137	1740
73	138	1737
74	140	1734
75	142	1727
76	144	1726
77	145	1717
78	146	1712
79	148	1709
80	150	1708
81	152	1711
82	155	1715
83	156	1709
84	158	1710
85	160	1708
86	162	1705
87	164	1702
88	166	1702
89	168	1699
90	170	1699
91	171	1691
92	173	1689
93	174	1686
94	176	1682
95	178	1679
96	180	1675
97	181	1674
98	183	1672
99	186	1674
100	188	1680
101	190	1678
102	192	1673
103	193	1670
104	195	1667
105	197	1664
106	199	1663
107	201	1660
108	203	1659
109	204	1658
110	206	1655
111	208	1652
112	210	1649
113	212	1648
114	213	1645
115	215	1644
116	217	1642
117	219	1640
118	221	1636
119	222	1630
120	224	1628
121	225	1625
122	227	1623
123	229	1622
124	231	1621
125	233	1618
126	234	1614
127	236	1612
128	238	1609
129	239	1605
130	241	1602
131	243	1600
132	245	1598
133	246	1593
134	248	1590
135	249	1586
136	251	1583
137	252	1579
138	254	1576
139	256	1573
140	257	1568
141	259	1566
142	260	1563
143	262	1561
144	263	1556
145	265	1553
146	267	1550
147	268	1547
148	270	1544
149	272	1546
150	275	1550
151	279	1561
152	281	1560
153	283	1559
154	285	1557
155	288	1558
156	289	1554
157	291	1551
158	293	1550
159	295	1549
160	296	1546
161	298	1544
162	300	1543
163	302	1544
164	305	1543
165	306	1541
166	308	1538
167	310	1535
168	311	1533
169	313	1530
170	315	1527
171	317	1527
172	319	1526
173	320	1520
174	322	1518
175	323	1512
176	324	1509
177	326	1507
178	328	1504
179	329	1499
180	346	1566
181	348	1564
182	350	1562
183	352	1561
184	353	1556
185	354	1553
186	356	1550
187	358	1547
188	360	1545
189	361	1542
190	363	1540
191	365	1538
192	367	1536
193	369	1533
194	371	1532
195	372	1529
196	374	1526
197	376	1523
198	377	1521
199	379	1518
200	381	1516
201	383	1515
202	385	1512
203	387	1510
204	389	1509
205	391	1507
206	393	1505
207	394	1503
208	396	1501
209	398	1497
210	399	1495
211	402	1494
212	405	1496
213	406	1493
214	407	1489
215	410	1488
216	411	1485
217	413	1483
218	415	1482
219	417	1479
220	419	1477
221	420	1474
222	422	1472
223	423	1468
224	425	1465
225	429	1469
226	431	1468
227	433	1466
228	434	1463
229	436	1460
230	438	1458
231	440	1459
232	442	1458
233	444	1455
234	446	1453
235	448	1450
236	449	1448
237	451	1445
238	452	1442
239	454	1439
240	456	1437
241	458	1435
242	459	1432
243	461	1430
244	463	1428
245	465	1425
246	466	1423
247	468	1420
248	470	1417
249	472	1416
250	474	1415
251	476	1413
252	478	1411
253	480	1409
254	481	1407
255	483	1404
256	484	1401
257	486	1400
258	488	1398
259	490	1396
260	492	1393
261	493	1391
262	495	1388
263	497	1385
264	498	1383
265	500	1380
266	502	1378
267	504	1376
268	505	1374
269	507	1371
270	508	1369
271	510	1366
272	512	1364
273	513	1361
274	515	1359
275	517	1357
276	519	1355
277	520	1352
278	522	1350
279	524	1347
280	525	1345
281	527	1342
282	529	1340
283	530	1337
284	532	1335
285	534	1333
286	535	1331
287	537	1329
288	539	1326
289	540	1324
290	542	1321
291	544	1319
292	546	1317
293	547	1315
294	549	1312
295	550	1310
296	552	1308
297	554	1306
298	556	1303
299	557	1301
300	559	1298
301	560	1296
302	562	1293
303	564	1291
304	565	1289
305	567	1286
306	569	1284
307	570	1282
308	572	1280
309	574	1277
310	575	1275
311	577	1273
312	579	1271
313	581	1269
314	582	1267
315	584	1265
316	586	1262
317	588	1262
318	590	1260
319	592	1258
320	593	1255
321	595	1252
322	596	1250
323	597	1247
324	599	1244
325	600	1242
326	602	1240
327	605	1239
328	606	1237
329	609	1237
330	611	1236
331	614	1236
332	618	1237
333	619	1236
334	622	1235
335	624	1234
336	626	1233
337	628	1231
338	631	1230
339	632	1228
340	634	1226
341	637	1225
342	639	1225
343	641	1224
344	644	1224
345	646	1222
346	649	1221
347	651	1220
348	653	1218
349	655	1216
350	657	1215
351	659	1213
352	661	1212
353	663	1210
354	665	1209
355	667	1207
356	669	1205
357	671	1204
358	673	1201
359	674	1199
360	676	1198
361	679	1196
362	680	1193
363	682	1191
364	683	1189
365	688	1191
366	690	1190
367	692	1189
368	694	1188
369	696	1186
370	698	1184
371	701	1184
372	703	1182
373	705	1180
374	707	1178
375	708	1176
376	710	1174
377	712	1172
378	714	1169
379	716	1168
380	717	1165
381	719	1164
382	721	1162
383	723	1160
384	728	1163
385	730	1161
386	732	1160
387	734	1159
388	736	1157
389	738	1155
390	740	1152
391	741	1150
392	743	1148
393	745	1146
394	747	1144
395	749	1143
396	751	1141
397	753	1139
398	754	1137
399	756	1135
400	758	1133
401	760	1131
402	762	1129
403	764	1127
404	765	1125
405	767	1123
406	769	1120
407	771	1119
408	773	1117
409	775	1115
410	777	1113
411	778	1111
412	780	1109
413	782	1106
414	783	1104
415	785	1103
416	787	1100
417	789	1098
418	790	1096
419	792	1093
420	794	1092
421	795	1090
422	797	1087
423	799	1085
424	801	1083
425	802	1081
426	804	1079
427	806	1077
428	808	1076
429	809	1073
430	811	1071
431	814	1071
432	818	1071
433	819	1069
434	821	1067
435	823	1065
436	825	1063
437	827	1061
438	828	1059
439	830	1056
440	832	1054
441	833	1052
442	835	1050
443	837	1048
444	838	1046
445	840	1043
446	842	1042
447	844	1040
448	845	1038
449	847	1036
450	849	1033
451	851	1031
452	852	1029
453	855	1028
454	857	1026
455	858	1024
456	860	1022
457	862	1020
458	863	1018
459	865	1016
460	867	1014
461	869	1012
462	871	1010
463	873	1008
464	874	1005
465	875	1003
466	877	1001
467	878	999
468	880	996
469	882	994
470	884	993
471	886	992
472	888	990
473	890	987
474	891	985
475	893	983
476	895	981
477	896	979
478	898	977
479	900	975
480	902	973
481	904	971
482	905	969
483	907	967
484	909	965
485	910	963
486	912	961
487	914	959
488	916	957
489	917	955
490	919	953
491	921	951
492	922	949
493	924	946
494	925	944
495	927	942
496	929	940
497	930	938
498	932	936
499	934	934
500	935	932
501	937	929
502	938	927
503	940	925
504	942	923
505	943	921
506	945	919
507	947	917
508	949	915
509	951	913
510	952	911
511	954	909
512	956	908
513	960	907
514	961	905
515	963	903
516	965	901
517	966	899
518	968	897
519	970	895
520	972	894
521	974	892
522	976	890
523	979	889
524	981	887
525	1023	922
526	1026	921
527	1028	919
528	1030	917
529	1032	915
530	1034	913
531	1046	920
532	1048	918
533	1050	916
534	1052	914
535	1056	914
536	1057	912
537	1059	909
538	1061	907
539	1062	904
540	1063	902
541	1065	900
542	1067	898
543	1069	896
544	1071	894
545	1073	892
546	1077	892
547	1079	890
548	1081	888
549	1083	886
550	1085	884
551	1087	882
552	1088	879
553	1090	878
554	1092	876
555	1094	873
556	1095	871
557	1097	869
558	1099	867
559	1102	866
560	1104	864
561	1106	862
562	1107	859
563	1109	857
564	1111	855
565	1113	853
566	1115	851
567	1117	849
568	1118	847
569	1120	845
570	1122	843
571	1123	840
572	1125	838
573	1127	836
574	1129	834
575	1131	833
576	1133	831
577	1135	828
578	1137	826
579	1138	824
580	1139	821
581	1141	819
582	1142	817
583	1144	815
584	1147	814
585	1149	812
586	1152	810
587	1153	808
588	1155	806
589	1157	804
590	1158	801
591	1161	800
592	1163	798
593	1165	796
594	1167	794
595	1169	792
596	1171	790
597	1173	788
598	1176	787
599	1178	785
600	1180	783
601	1182	781
602	1184	779
603	1186	777
604	1187	775
605	1189	773
606	1192	772
607	1194	770
608	1195	767
609	1197	765
610	1199	763
611	1201	761
612	1203	759
613	1206	758
614	1208	756
615	1210	754
616	1212	752
617	1214	750
618	1216	748
619	1218	746
620	1221	745
621	1223	743
622	1225	741
623	1227	739
624	1229	737
625	1231	735
626	1232	733
627	1234	731
628	1236	729
629	1238	727
630	1240	725
631	1242	723
632	1243	721
633	1245	719
634	1247	716
635	1248	714
636	1250	712
637	1252	710
638	1255	709
639	1256	706
640	1258	704
641	1260	702
642	1262	700
643	1263	698
644	1265	696
645	1267	694
646	1269	692
647	1271	690
648	1273	688
649	1275	686
650	1277	684
651	1278	682
652	1280	680
653	1282	678
654	1284	676
655	1286	674
656	1288	672
657	1290	670
658	1292	668
659	1294	666
660	1296	664
661	1298	663
662	1300	661
663	1302	659
664	1304	657
665	1306	655
666	1307	652
667	1309	650
668	1311	648
669	1313	647
670	1316	645
671	1317	643
672	1319	641
673	1321	639
674	1322	636
675	1324	634
676	1326	632
677	1328	630
678	1330	629
679	1332	627
680	1334	625
681	1336	623
682	1337	620
683	1338	618
684	1340	616
685	1342	614
686	1343	612
687	1345	610
688	1347	608
689	1349	606
690	1350	603
691	1352	601
692	1354	599
693	1355	597
694	1357	595
695	1359	593
696	1360	591
